Year,Adv_Weighted_Actual,Adv_Weighted_Counter,Adv_Weighted_Gap
2006,10524437.160434205,10071372.167200498,453064.9932337068
2007,8746308.192333227,8648945.80598474,97362.38634848781
2008,10045078.199242001,9965067.716526449,80010.48271555267
2009,12345221.400190208,11872095.454357093,473125.9458331149
2010,12456284.998176882,12097057.526217803,359227.4719590787
2011,11910215.007258272,11668749.72971128,241465.27754699253
2012,11172304.058311779,10911105.830057964,261198.22825381532
2013,10080330.687062437,9963445.671477608,116885.01558482833
2014,9226330.414974665,9061036.034963094,165294.38001157157
2015,8625508.189423218,8539264.930127753,86243.25929546542
2016,7678288.304660004,7720824.090256087,-42535.78559608292
2017,7143541.113445031,7152869.2202047,-9328.106759668328
2018,6739235.795500118,6703289.480150739,35946.315349379554
2019,6826496.04535036,6649869.805531759,176626.23981860094
2020,7436970.293683026,7576774.488027267,-139804.19434424117
2021,6243677.7596048415,7140861.316352961,-897183.5567481192
2022,6902539.393100862,7123468.0958575,-220928.7027566377
2023,8294898.470229659,6528790.07773531,1766108.3924943488
