MSA_Name,AdvWeightedGap_2006,AdvWeightedGap_2007,AdvWeightedGap_2008,AdvWeightedGap_2009,AdvWeightedGap_2010,AdvWeightedGap_2011,AdvWeightedGap_2012,AdvWeightedGap_2013,AdvWeightedGap_2014,AdvWeightedGap_2015,AdvWeightedGap_2016,AdvWeightedGap_2017,AdvWeightedGap_2018,AdvWeightedGap_2019,AdvWeightedGap_2020,AdvWeightedGap_2021,AdvWeightedGap_2022,AdvWeightedGap_2023,Adv_Weight_LQ_2015_2018_Anchor,Avg_AdvWeightedGap_PreCOVID_2006_2019,Avg_AdvWeightedGap_COVID_2020_2023,Latest_Year_AdvWeightedGap_2023,Market_Category_Mode_2020_2023
"Dallas-Fort Worth-Arlington, TX",-3793891.3233825415,-1436580.6955088228,5499788.803317517,2472211.859338738,2760252.6220301837,-110243.49544928968,1824858.9631668925,291847.854309991,131550.0452272892,106251.71795064211,-2617052.7388327047,3259495.7000381947,1221419.053930536,4064165.11842642,-8043757.063633218,10884706.234024055,6878327.833984442,24181385.63964755,0.5267828101196688,976719.5346116461,8475165.661005707,24181385.63964755,Moderate Structural Surplus
"Memphis, TN-MS-AR",2157509.215503644,2369442.0310488883,-682875.2141622156,559169.6083917208,3182242.615332151,1708743.1137008574,3567876.167032508,1545047.3504892774,1351949.8765309993,-865974.202728739,2597678.753945742,1561746.828522263,2358733.141967982,2914015.7906576023,2066637.0979328267,3728051.0647895113,2586752.7741723508,8487749.525460986,0.4123165929010662,1737521.791159477,4217297.615588918,8487749.525460986,Moderate Structural Surplus
"Indianapolis-Carmel-Greenwood, IN",2725051.616957279,698290.2133448143,680398.3436950948,574751.7082222104,1783462.9497739226,2387014.990987288,3251818.8540155776,3125356.0384665,1741464.0311505906,607594.5311922021,-560950.7993209716,-251235.34907060117,-731221.069719201,-865447.60631302,526196.2933977786,3215095.7842874173,4667658.559840454,7758058.139473122,0.5086005415218712,1083310.6038129774,4041752.194249693,7758058.139473122,Moderate Structural Surplus
"Seattle-Tacoma-Bellevue, WA",-599752.1231872197,-267050.3976304177,623880.0895072985,-127578.1481047459,332358.6127025001,1180304.2967836075,444369.15934148617,1366703.1080316808,998954.2739054449,1001192.2708400711,38700.20860467851,-341324.57317031175,1468365.1448077438,1484169.9658176433,4556304.841090163,-3039425.547925465,5408119.539221948,8941757.643822052,0.5893548720831256,543092.2777321043,3966689.1190521745,8941757.643822052,Moderate Structural Surplus
"Phoenix-Mesa-Chandler, AZ",1866591.3297242094,1960142.0646856483,-9027.642850529402,1101342.0245085992,1727321.9207857773,-2393924.592679467,-2999969.1892634854,-2277899.561339043,-276278.3076739721,-235832.4468425326,-1072132.9463318847,-2090770.9979661778,-1551518.3602436967,-1135989.9509279188,-8199630.991479874,1425725.7725936733,5440034.180476069,14165244.7354086,0.48673339113318764,-527710.4754581767,3207843.4242496174,14165244.7354086,Moderate Structural Deficit
"Riverside-San Bernardino-Ontario, CA",2025863.9039801024,1888868.331491366,5978906.391535275,3054284.3389050476,-4754185.368582055,-3053543.6490603946,-1326100.3340844698,-2116671.481552124,183094.99906934798,456366.79698731005,807519.9128264897,424875.060329698,836420.5954090804,711104.0146640632,-3270791.1621901803,722753.8377931658,1440094.2643743772,13931213.528416498,0.345322903039724,365485.96513705264,3205817.617098465,13931213.528416498,Structurally Balanced
"Allentown-Bethlehem-Easton, PA-NJ",-167759.43711676635,1058948.6039968412,58729.171750858426,-530943.3059100965,-1742091.7139097732,-968339.0782031119,462392.5201121541,-579156.0367605574,-1501584.5506950933,1646523.905597136,310237.479197721,95488.8425016366,743026.9414709783,1318917.662462031,3588859.6710842443,1611020.0894180238,2048808.6560294358,3857981.589266643,0.47434753082544223,14599.357463854132,2776667.501449587,3857981.589266643,Significant Structural Surplus
"San Jose-Sunnyvale-Santa Clara, CA",1763584.933602728,543360.8799992241,2905967.600721851,4601641.35643582,2454871.8832161054,-140157.79959786683,2017477.8332059626,3797068.386660669,891640.7739687823,221415.65833834372,-142985.9127072338,1895021.9565596394,2007671.4158982597,1744851.0742014237,4797139.115324387,1402675.0576218814,329544.2508355789,3729417.9176749233,0.7452926099718026,1754387.8600359794,2564694.0853641927,3729417.9176749233,Moderate Structural Surplus
"Charleston-North Charleston, SC",,-56753.93320052372,1035375.3572836588,-2029.1887021884322,140624.4869702123,-889430.882594197,305766.243942501,456986.86213792674,3774.3200893639587,286833.93317455705,-498526.9283449268,934632.3799727736,392103.70888649207,236221.89853695454,1269587.7990615265,-146367.01755240466,3007733.21317256,5069424.607280808,0.5632888921098202,180429.09678096956,2300094.6504906225,5069424.607280808,Significant Structural Surplus
"Denver-Aurora-Centennial, CO",483777.99051130563,-1038634.2106605396,-1293179.909271989,-377051.0748676043,-950818.3314840384,-653276.5016546752,-1121212.4302910864,-1611662.0417379197,-406849.21258738264,128324.62897206098,1092287.7060250975,-153256.36638200935,2031264.4804954818,594667.1938696038,1614574.1471760627,-624824.4457441028,2485045.4071927276,4374285.690289933,0.5310783580196166,-233972.71993312106,1962270.1997286552,4374285.690289933,Moderate Structural Surplus
