MSA_Name,Avg_Adv_Weighted_Gap_2020_2023
"Dallas-Fort Worth-Arlington, TX",8475165.66100571
"Memphis, TN-MS-AR",4217297.615588918
"Indianapolis-Carmel-Greenwood, IN",4041752.1942496914
"Seattle-Tacoma-Bellevue, WA",3966689.1190521745
"Phoenix-Mesa-Chandler, AZ",3207843.424249617
"Riverside-San Bernardino-Ontario, CA",3205817.617098466
"Allentown-Bethlehem-Easton, PA-NJ",2776667.501449587
"San Jose-Sunnyvale-Santa Clara, CA",2564694.0853641927
"Charleston-North Charleston, SC",2300094.6504906225
"Denver-Aurora-Centennial, CO",1962270.1997286566
"Stockton-Lodi, CA",1770665.8006702987
"Worcester, MA",1754212.47413156
"San Diego-Chula Vista-Carlsbad, CA",1748634.4043266543
"Greenville-Anderson-Greer, SC",1715180.5009913174
"Austin-Round Rock-San Marcos, TX",1624571.4397457961
"Nashville-Davidson--Murfreesboro--Franklin, TN",1471164.4467783645
"Buffalo-Cheektowaga, NY",1337736.0325351306
"Oklahoma City, OK",1066020.2928447435
"San Francisco-Oakland-Fremont, CA",1040584.9558377666
"St. Louis, MO-IL",954269.894987269
"Toledo, OH",939757.7095903708
"Lakeland-Winter Haven, FL",811357.9035034502
"Scranton--Wilkes-Barre, PA",738731.9381978554
"Des Moines-West Des Moines, IA",735007.3624378716
"Las Vegas-Henderson-North Las Vegas, NV",726269.7136754397
"Houston-Pasadena-The Woodlands, TX",723487.4916640109
"Rochester, NY",643757.99773793
"Salt Lake City-Murray, UT",607459.8100669407
"Portland-Vancouver-Hillsboro, OR-WA",602010.0010326421
"Boise City, ID",600762.7321472028
"Bakersfield-Delano, CA",596153.8643088512
"El Paso, TX",589259.3796453212
"Greensboro-High Point, NC",568467.3219767882
"Harrisburg-Carlisle, PA",527721.6256942365
"Provo-Orem-Lehi, UT",497525.27608866617
"Jacksonville, FL",473820.64265738934
"Birmingham, AL",472394.01862919884
"Tulsa, OK",436128.1601237545
"Oxnard-Thousand Oaks-Ventura, CA",426042.61531715555
"New Haven, CT",377950.230459188
"Ogden, UT",372286.2614546837
"Cape Coral-Fort Myers, FL",310112.2704334427
"Wichita, KS",291555.0948570566
"Raleigh-Cary, NC",283071.5008217403
"Omaha, NE-IA",275838.44708517625
"Fresno, CA",248845.20428784232
"Kiryas Joel-Poughkeepsie-Newburgh, NY",221412.6189625574
"Spokane-Spokane Valley, WA",210392.52373153632
"Tucson, AZ",204762.68790117878
"Deltona-Daytona Beach-Ormond Beach, FL",191576.19899970986
"Columbia, SC",185162.74653603428
"Baltimore-Columbia-Towson, MD",167141.29119421775
"Richmond, VA",149606.53527944465
"Chattanooga, TN-GA",141563.02396632882
"Akron, OH",136427.51003941003
"Dayton-Kettering-Beavercreek, OH",108900.86521043914
"Urban Honolulu, HI",97112.10097312416
"New Orleans-Metairie, LA",83986.39151372138
"North Port-Bradenton-Sarasota, FL",59196.67391708128
"Winston-Salem, NC",27820.064832275122
"Madison, WI",26338.420486388466
"Augusta-Richmond County, GA-SC",9321.611484299327
"McAllen-Edinburg-Mission, TX",-1047.1445399193037
"Albany-Schenectady-Troy, NY",-3192.841906898786
"Baton Rouge, LA",-16071.331296510874
"Jackson, MS",-17399.31958441194
"Albuquerque, NM",-48539.53486621011
"Palm Bay-Melbourne-Titusville, FL",-85247.80417451242
"Little Rock-North Little Rock-Conway, AR",-130738.0916225253
"Colorado Springs, CO",-155829.60822658663
"Grand Rapids-Wyoming-Kentwood, MI",-170279.46563615996
"Syracuse, NY",-185139.47661293414
"Knoxville, TN",-214057.54779881975
"Kansas City, MO-KS",-235827.9299787404
"Columbus, OH",-332042.79154876934
"Providence-Warwick, RI-MA",-467235.7614409841
"Durham-Chapel Hill, NC",-502224.99887265655
"Boston-Cambridge-Newton, MA-NH",-591313.4640322311
"Sacramento-Roseville-Folsom, CA",-650690.4261767392
"Orlando-Kissimmee-Sanford, FL",-716111.2825106194
"Charlotte-Concord-Gastonia, NC-SC",-755104.7505939109
"Los Angeles-Long Beach-Anaheim, CA",-793689.9799839278
"Pittsburgh, PA",-834792.9286783636
"Hartford-West Hartford-East Hartford, CT",-856880.1672736823
"Louisville/Jefferson County, KY-IN",-894416.8465511012
"Milwaukee-Waukesha, WI",-1124700.070652308
"Virginia Beach-Chesapeake-Norfolk, VA-NC",-1127355.851944315
"Bridgeport-Stamford-Danbury, CT",-1182988.0276637585
"Tampa-St. Petersburg-Clearwater, FL",-1250652.7931775686
"San Antonio-New Braunfels, TX",-1291439.5759785045
"Minneapolis-St. Paul-Bloomington, MN-WI",-1601339.981790116
"Cleveland, OH",-1915766.3643252428
"Cincinnati, OH-KY-IN",-2276241.935205186
"Miami-Fort Lauderdale-West Palm Beach, FL",-2552398.137279829
"New York-Newark-Jersey City, NY-NJ",-3554950.859192097
"Detroit-Warren-Dearborn, MI",-3771176.4744620733
"Chicago-Naperville-Elgin, IL-IN",-4276507.420691993
"Washington-Arlington-Alexandria, DC-VA-MD-WV",-5611512.343763032
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-6223430.723279855
"Atlanta-Sandy Springs-Roswell, GA",-7501191.463482706
