Year,Mean_Gap,Median_Gap,Pct_Deficit,Pct_Surplus,Mean_Actual_LogSpace,Mean_Counterfactual_LogSpace,Mean_Actual_Space_SF,Mean_Counterfactual_Space_SF
2006,-0.0002,0.0187,12.5,9.7222,16.3929,16.3931,20781699.8194,19896033.6859
2007,0.0032,-0.0076,11.0,12.0,16.1884,16.1853,17548399.39,17357444.3179
2008,0.0033,0.0081,7.0,9.0,16.3468,16.3435,20230270.65,20006656.033
2009,0.0198,0.0232,5.0,11.0,16.5908,16.5709,24904615.74,23972669.051
2010,0.0001,0.0046,6.0,6.0,16.6095,16.6094,25112969.75,24440238.5753
2011,0.0014,0.0055,3.0,3.0,16.5767,16.5753,24029351.04,23581454.0789
2012,-0.0004,0.0002,3.0,3.0,16.5115,16.5119,22590830.31,22060766.7927
2013,-0.0055,-0.0005,5.0,4.0,16.4108,16.4163,20419993.33,20198839.7997
2014,-0.0023,0.0104,7.0,3.0,16.3075,16.3098,18671228.14,18382116.1797
2015,-0.0006,0.003,7.0,6.0,16.2397,16.2403,17471716.53,17283145.9243
2016,-0.0185,-0.0191,5.0,5.0,16.0811,16.0995,15524638.08,15560198.7526
2017,-0.0027,0.0024,7.0,6.0,16.0062,16.0089,14455582.09,14453457.9591
2018,-0.0035,0.0156,12.0,9.0,15.9159,15.9194,13581329.01,13536571.9975
2019,0.0052,0.0165,10.0,9.0,15.9255,15.9203,13750487.17,13394570.3609
2020,0.1268,0.1166,7.0707,35.3535,15.9854,15.8585,14935763.2727,15250209.3173
2021,-0.0808,-0.0823,37.0,17.0,15.7743,15.8551,12501166.56,14225601.188
2022,0.0546,0.0163,23.0,29.0,15.8725,15.8179,13916729.73,14274709.385
2023,0.2726,0.2517,7.0,53.0,16.0325,15.7598,16824397.12,13095850.9126
