Feature,OLS_Standardized_Coefficient,OLS_Abs_Coefficient,SHAP_Mean_Abs_Value,OLS_Rank,SHAP_Rank
log_Adv_Ind_Employees (t-1),0.6932918550635752,0.6932918550635752,0.32449560232673735,2,1
log_Adv_Ind_Establishments (t-1),-0.147581055037218,0.147581055037218,0.18463260552159655,11,2
CoStar_Vacancy_Rate (t-1),0.2692549514030317,0.2692549514030317,0.17424967861971077,8,3
log_poverty_count (t-1),0.029205641038809477,0.029205641038809477,0.13486182078449474,25,4
log_CoStar_Rent_Overall (t-1),-0.7238953989774196,0.7238953989774196,0.10880845382857054,1,5
log_Rent_To_AdvInd_Wage (t-1),0.38218123820724076,0.38218123820724076,0.09081232758924553,6,6
Year_FE,-0.08242894677154532,0.08242894677154532,0.09035800791209267,18,7
log_Construction_Starts_SF_12Mo (t-1),0.5853398880713725,0.5853398880713725,0.07422689531723652,3,8
log_Adv_Ind_Wage_Premium (t-1),0.2532397659990786,0.2532397659990786,0.04989922294321644,10,9
log_Delivery_Intensity (t-1),-0.3136845192261712,0.3136845192261712,0.048805236837153966,7,10
CoStar_Rent_Growth_12Mo (t-1),-0.026099558320195084,0.026099558320195084,0.04745146718889681,26,11
Number_of_Universities (t-1),-0.07671687791393979,0.07671687791393979,0.04237938057153002,19,12
log_Business_Entry_Rate (t-1),-0.13849458653323352,0.13849458653323352,0.039745668315089536,12,13
log_patent_count (t),0.0537070794807557,0.0537070794807557,0.0390629531727117,23,14
log_CoStar_Sales_Transactions (t-1),0.11709069327717007,0.11709069327717007,0.03536824461059924,15,15
LQ_RD_Expenditure (t-1),0.05591200534000174,0.05591200534000174,0.0267676045429275,21,16
log_Adv_Ind_Emp_Share (t-1),-0.13225431333536147,0.13225431333536147,0.02311227391510287,13,17
CoStar_Market_Cap_Rate (t-1),-0.017748857675342816,0.017748857675342816,0.020430565220247738,27,18
log_total_vmt_per_capita (t),0.001934194319127446,0.001934194319127446,0.014821955371866006,31,19
log_RD_Intensity (t-1),-0.1012776425331998,0.1012776425331998,0.014399805765004225,16,20
log_All_Avg_Wage_Per_Worker (t-1),0.5592135949183382,0.5592135949183382,0.013949999107568141,4,21
Months_of_Supply (t-1),0.013273173923189711,0.013273173923189711,0.013306096987771838,29,22
edu_bachelor_plus_pct (t-1),-0.12078636114180387,0.12078636114180387,0.01253051781966583,14,23
log_Productivity (t-1),-0.0016350086309651936,0.0016350086309651936,0.011908356830197846,32,24
log_median_income (t),0.09337152179162872,0.09337152179162872,0.010443086718334365,17,25
Avg_R&D_per_Institution_(x1000) (t-1),-0.054636377101687415,0.054636377101687415,0.009044971079292474,22,26
log_Avg_Delivered_Building_Size (t-1),-0.40111615776333326,0.40111615776333326,0.008132610244595022,5,27
log_Adv_Ind_Avg_Annual_Wages_per_Worker (t),-0.2559069236286976,0.2559069236286976,0.007284039348155151,9,28
log_Business_Exit_Rate (t-1),0.0722045866016663,0.0722045866016663,0.005017145595039638,20,29
CoStar_Cap_Rate (t-1),-0.007843958588991543,0.007843958588991543,0.004843640658479718,30,30
Total_R&D_Expenditure_(x1000) (t-1),0.015586220394301988,0.015586220394301988,0.0033008559771702793,28,31
Mature_Firm_Share (t-1),-0.04327972141938014,0.04327972141938014,0.0014685036159937399,24,32
