Year,RDWeighted_Mean_Gap,RDWeighted_Mean_Gap_p50,RDWeighted_Mean_Gap_p05,RDWeighted_Mean_Gap_p95
2015,0.014829140570147342,,,
2016,-0.0007734902477708438,,,
2017,0.005169335750840992,,,
2018,0.013534269613812305,,,
2019,0.03382949475737596,,,
2020,0.011055233464215487,,,
2021,-0.10017880496931808,,,
2022,0.004367318661433709,,,
2023,0.28511862492122675,0.28307649491350023,0.19400250379250367,0.38258064067227965
2024,,0.235557664142777,0.17388478932208806,0.31047042604183933
2025,,0.20330428967513764,0.1578595082903803,0.26591930762121546
2026,,0.18015055699401647,0.1456604472671732,0.23560074750827195
2027,,0.1644845055587014,0.1378970990626165,0.21387615417635197
2028,,0.1539258361663569,0.1318642132802217,0.19699088039552656
2029,,0.14687773412884228,0.12850467836161267,0.18557253855485367
2030,,0.14215167354952196,0.125562588127381,0.17663670710097196
2031,,0.13932959717327148,0.12330458984292467,0.16795666405928808
2032,,0.1363419567457457,0.1219228478648971,0.161322725504338
2033,,0.13465353639173414,0.12050573975039751,0.15609456021692775
2034,,0.13332238843319713,0.11958698750584253,0.15308649649585387
2035,,0.13225708836367614,0.11887546735838565,0.15022387519591984
2036,,0.1317601320052226,0.11810225426428166,0.14824978206359127
2037,,0.13120717720339742,0.11776879217875877,0.14701592608026565
2038,,0.13078440914665715,0.11739043256551397,0.14590557671652737
2039,,0.1304799294307365,0.11709654176381641,0.1452332997699041
2040,,0.13029659610018612,0.11686693712857915,0.14459523502819982
2041,,0.1301072677186691,0.11664663394159824,0.14407770159851288
2042,,0.12994359967696162,0.11651388501961105,0.14390297633808505
2043,,0.12986227781766152,0.11647135724470223,0.1433266406156716
2044,,0.1297611275440232,0.11645997177804279,0.14314240309742646
2045,,0.12964666576844627,0.1164258317468637,0.1430219548807141
