MSA_Name,Avg_Gap_2020_2023,Avg_RD_Weighted_Gap_2020_2023,Rank_Unweighted,Rank_RD_Weighted,Rank_Shift
"Dallas-Fort Worth-Arlington, TX",0.1688296329792811,8475165.66100571,37.0,1.0,36.0
"Memphis, TN-MS-AR",0.4634560535500629,4217297.615588918,10.0,2.0,8.0
"Indianapolis-Carmel-Greenwood, IN",0.2624557315922233,4041752.194249691,22.0,3.0,19.0
"Seattle-Tacoma-Bellevue, WA",0.3320288642670892,3966689.1190521754,19.0,4.0,15.0
"Phoenix-Mesa-Chandler, AZ",0.1320956789888194,3207843.424249617,44.0,5.0,39.0
"Riverside-San Bernardino-Ontario, CA",0.1711103549929253,3205817.617098466,35.0,6.0,29.0
"Allentown-Bethlehem-Easton, PA-NJ",0.6828876145052818,2776667.501449587,2.0,7.0,-5.0
"San Jose-Sunnyvale-Santa Clara, CA",0.2297212011060869,2564694.0853641927,26.0,8.0,18.0
"Charleston-North Charleston, SC",0.5182311148159622,2300094.6504906225,7.0,9.0,-2.0
"Denver-Aurora-Centennial, CO",0.1538713027629903,1962270.1997286568,41.0,10.0,31.0
"Stockton-Lodi, CA",0.8156423531868153,1770665.8006702987,1.0,11.0,-10.0
"Worcester, MA",0.5496748907129257,1754212.47413156,5.0,12.0,-7.0
"San Diego-Chula Vista-Carlsbad, CA",0.1934703043013037,1748634.4043266545,30.0,13.0,17.0
"Greenville-Anderson-Greer, SC",0.3985150880801682,1715180.5009913174,11.0,14.0,-3.0
"Austin-Round Rock-San Marcos, TX",0.1524956797396277,1624571.439745796,42.0,15.0,27.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.1851180481718009,1471164.4467783645,33.0,16.0,17.0
"Buffalo-Cheektowaga, NY",0.6155250676410722,1337736.0325351306,3.0,17.0,-14.0
"Oklahoma City, OK",0.3477042143388482,1066020.2928447437,16.0,18.0,-2.0
"San Francisco-Oakland-Fremont, CA",0.1946961284581316,1040584.9558377666,29.0,19.0,10.0
"St. Louis, MO-IL",0.0819396474594578,954269.894987269,50.0,20.0,30.0
"Toledo, OH",0.3616863685533187,939757.7095903708,14.0,21.0,-7.0
"Lakeland-Winter Haven, FL",0.5307431421023097,811357.9035034502,6.0,22.0,-16.0
"Scranton--Wilkes-Barre, PA",0.2488606986772281,738731.9381978554,25.0,23.0,2.0
"Des Moines-West Des Moines, IA",0.3544968594292204,735007.3624378716,15.0,24.0,-9.0
"Las Vegas-Henderson-North Las Vegas, NV",0.1671845990066196,726269.7136754397,38.0,25.0,13.0
"Houston-Pasadena-The Woodlands, TX",0.015660975396436,723487.4916640109,60.0,26.0,34.0
"Rochester, NY",0.1892204871497766,643757.99773793,32.0,27.0,5.0
"Salt Lake City-Murray, UT",0.0781503907875822,607459.8100669407,51.0,28.0,23.0
"Portland-Vancouver-Hillsboro, OR-WA",0.0727851355745601,602010.0010326421,52.0,29.0,23.0
"Boise City, ID",0.338132104029206,600762.7321472028,17.0,30.0,-13.0
"Bakersfield-Delano, CA",0.5788923034914193,596153.8643088512,4.0,31.0,-27.0
"El Paso, TX",0.4778408125076452,589259.3796453212,9.0,32.0,-23.0
"Greensboro-High Point, NC",0.1787939918867831,568467.3219767882,34.0,33.0,1.0
"Harrisburg-Carlisle, PA",0.2622262463814171,527721.6256942365,23.0,34.0,-11.0
"Provo-Orem-Lehi, UT",0.338102322524815,497525.27608866617,18.0,35.0,-17.0
"Jacksonville, FL",0.1137347343113193,473820.6426573893,46.0,36.0,10.0
"Birmingham, AL",0.1970442047991509,472394.0186291989,28.0,37.0,-9.0
"Tulsa, OK",0.1590304289814419,436128.1601237545,39.0,38.0,1.0
"Oxnard-Thousand Oaks-Ventura, CA",0.2857751750354835,426042.6153171556,21.0,39.0,-18.0
"New Haven, CT",0.1689772707156223,377950.230459188,36.0,40.0,-4.0
"Ogden, UT",0.3646006780699342,372286.2614546837,13.0,41.0,-28.0
"Cape Coral-Fort Myers, FL",0.5031925748076014,310112.2704334427,8.0,42.0,-34.0
"Wichita, KS",0.10187482330547,291555.0948570566,48.0,43.0,5.0
"Raleigh-Cary, NC",0.0415243723348468,283071.5008217403,56.0,44.0,12.0
"Omaha, NE-IA",0.1913367734565061,275838.44708517625,31.0,45.0,-14.0
"Fresno, CA",0.3972809696163701,248845.20428784232,12.0,46.0,-34.0
"Kiryas Joel-Poughkeepsie-Newburgh, NY",0.2136456882955588,221412.6189625574,27.0,47.0,-20.0
"Spokane-Spokane Valley, WA",0.2966026041646494,210392.52373153632,20.0,48.0,-28.0
"Tucson, AZ",0.1560665869167494,204762.6879011788,40.0,49.0,-9.0
"Deltona-Daytona Beach-Ormond Beach, FL",0.2534994986363656,191576.19899970983,24.0,50.0,-26.0
"Columbia, SC",0.1093837076315171,185162.74653603428,47.0,51.0,-4.0
"Baltimore-Columbia-Towson, MD",0.0194162096459331,167141.29119421777,59.0,52.0,7.0
"Richmond, VA",0.0655951750582684,149606.53527944465,53.0,53.0,0.0
"Chattanooga, TN-GA",0.1421947330441035,141563.02396632882,43.0,54.0,-11.0
"Akron, OH",0.100815524475375,136427.51003941003,49.0,55.0,-6.0
"Dayton-Kettering-Beavercreek, OH",0.0461996209069073,108900.86521043914,55.0,56.0,-1.0
"Urban Honolulu, HI",0.1165335499648811,97112.10097312416,45.0,57.0,-12.0
"New Orleans-Metairie, LA",0.0262530194442836,83986.39151372138,57.0,58.0,-1.0
