Region,Year,RD_Weighted_Actual,RD_Weighted_Counter,RD_Weighted_Gap
Midwest,2006,17100367.968641613,15483885.27574817,1616482.6928934418
Midwest,2007,15214672.365029832,14510231.00662751,704441.358402323
Midwest,2008,16553690.455196328,16621342.623808583,-67652.16861225478
Midwest,2009,20038679.87970257,18974632.522561494,1064047.3571410775
Midwest,2010,20320328.76014088,18878301.456448555,1442027.303692326
Midwest,2011,19368079.519692574,18184439.41108588,1183640.1086066924
Midwest,2012,17723138.3588336,16586856.962086061,1136281.3967475388
Midwest,2013,15716062.527503334,14828584.454681434,887478.0728219002
Midwest,2014,14387310.696364228,13439607.211712305,947703.4846519232
Midwest,2015,13546702.587326065,13078015.735376071,468686.8519499935
Midwest,2016,11932043.728259282,11891214.614301987,40829.113957295194
Midwest,2017,10865522.563740296,11152834.783173421,-287312.2194331251
Midwest,2018,10315341.100864414,10293529.060064323,21812.04080009088
Midwest,2019,10517644.102606133,10315171.263822256,202472.83878387697
Midwest,2020,11557549.42462741,11869116.506781138,-311567.08215372823
Midwest,2021,9709008.801536752,11457790.803788252,-1748782.0022515003
Midwest,2022,9664394.28997578,10600366.580455985,-935972.2904802058
Midwest,2023,10895945.764627917,9720521.042041793,1175424.7225861233
Northeast,2006,9650505.147990583,9567176.925080026,83328.22291055694
Northeast,2007,8487725.821487147,8627271.951953297,-139546.13046615012
Northeast,2008,9296601.797026476,9997504.944576016,-700903.1475495398
Northeast,2009,11124727.679985646,11262567.28801371,-137839.60802806355
Northeast,2010,11490838.957123479,11574635.521402037,-83796.5642785579
Northeast,2011,11413843.729932822,11294939.97094667,118903.75898615271
Northeast,2012,11092085.656448565,10955166.822812099,136918.8336364664
Northeast,2013,10301278.239878459,10530930.52209217,-229652.28221371025
Northeast,2014,9517464.008518241,9383243.755895002,134220.25262323953
Northeast,2015,9169809.190853924,8818303.900548477,351505.29030544683
Northeast,2016,7714222.384973184,7902388.661291965,-188166.27631878108
Northeast,2017,6946647.656748094,7036106.023348011,-89458.36659991741
Northeast,2018,6391498.173010911,6235116.499244729,156381.6737661818
Northeast,2019,6347505.999049775,6268745.5327533055,78760.46629646979
Northeast,2020,6699523.634616702,6968751.815850197,-269228.1812334955
Northeast,2021,5604505.868706871,7072419.8673848435,-1467913.9986779727
Northeast,2022,5717840.92121689,6438566.594803208,-720725.6735863173
Northeast,2023,6588832.976189605,5549222.533222178,1039610.442967427
South,2006,8669261.815691281,8597589.435941104,71672.37975017726
South,2007,7402876.387919951,7300414.26876009,102462.11915986147
South,2008,8644380.12713512,8416899.886156436,227480.24097868428
South,2009,10602807.406211546,10472754.718031038,130052.68818050809
South,2010,10717007.666011937,10592883.836695326,124123.82931661047
South,2011,10248809.273191633,10127607.631859083,121201.64133254997
South,2012,9775496.343196096,9617955.36117179,157540.98202430643
South,2013,8896991.184388343,8830103.801826006,66887.38256233744
South,2014,8244323.458497731,8324643.27766052,-80319.8191627888
South,2015,7716434.075496803,7824537.013243688,-108102.93774688523
South,2016,7047778.748330808,7049661.407830141,-1882.6594993323088
South,2017,6659770.393325541,6455285.727695846,204484.66562969517
South,2018,6219304.237281963,6272553.415259649,-53249.17797768582
South,2019,6260666.343095218,6057881.237454916,202785.10564030148
South,2020,6815845.9500100305,7029590.263611497,-213744.31360146683
South,2021,5821434.04263762,6521751.924940689,-700317.8823030684
South,2022,6616985.901414512,6864333.514168148,-247347.6127536362
South,2023,7825879.805142849,6285348.186586852,1540531.6185559966
West,2006,8316128.641150323,7985919.541863883,330209.0992864398
West,2007,6373226.908032761,6572075.594867044,-198848.68683428317
West,2008,8086648.99869484,7594671.876411843,491977.1222829968
West,2009,10416267.83208105,9367482.195587365,1048785.6364936847
West,2010,10213375.231565163,9950803.551556809,262571.68000835367
West,2011,9506647.74006858,9679548.79830276,-172901.05823418126
West,2012,8702212.880896153,8832214.662183262,-130001.78128710948
West,2013,7718565.60722199,7848748.842210908,-130183.23498891853
West,2014,6826970.792487222,6806881.477132986,20089.31535423547
West,2015,6102067.459606958,6158542.746820446,-56475.28721348848
West,2016,5539638.922134414,5610992.541882238,-71353.61974782404
West,2017,5317962.871088045,5427307.445454275,-109344.57436623052
West,2018,5191687.377696104,5078073.10087959,113614.27681651432
West,2019,5364045.359890644,5182170.542163234,181874.81772741023
West,2020,5899254.471960317,5697639.472123515,201614.99983680248
West,2021,4818759.250694308,5009288.770791543,-190529.5200972343
West,2022,6158130.186326672,5443621.039374738,714509.1469519343
West,2023,8353816.277232636,5244732.095914203,3109084.181318433
