MSA_Name,Actual_SF,Counterfactual_SF,Structural_Gap_SF,Market_Category_Unweighted_Context
"McAllen-Edinburg-Mission, TX",273369.8720554171,306478.1985857805,-33108.32653036341,Structurally Balanced
"Urban Honolulu, HI",623743.8707256693,646203.5376852702,-22459.666959600872,Structurally Balanced
"Palm Bay-Melbourne-Titusville, FL",636442.9937278945,738313.1555212606,-101870.16179336607,Moderate Structural Deficit
"Deltona-Daytona Beach-Ormond Beach, FL",648425.6914745352,560098.6305863708,88327.06088816433,Moderate Structural Deficit
"Baton Rouge, LA",670472.4180746209,796513.5574904842,-126041.13941586332,Structurally Balanced
"Fresno, CA",701679.4634586708,487036.37690789107,214643.0865507797,Moderate Structural Surplus
"Cape Coral-Fort Myers, FL",750703.7356165871,427164.2388544634,323539.4967621237,Significant Structural Surplus
"Albuquerque, NM",771821.5001550931,811435.6513426123,-39614.15118751919,Moderate Structural Deficit
"North Port-Bradenton-Sarasota, FL",798409.3571006021,743996.9525714037,54412.40452919842,Structurally Balanced
"Spokane-Spokane Valley, WA",842322.5364316041,659310.668648954,183011.86778265005,Moderate Structural Surplus
"Knoxville, TN",882967.5886193252,1170805.553584106,-287837.96496478084,Moderate Structural Deficit
"Chattanooga, TN-GA",897895.0091664167,722866.2819036571,175028.72726275958,Moderate Structural Deficit
"Albany-Schenectady-Troy, NY",1141256.642005576,1292322.4020375044,-151065.7600319283,Structurally Balanced
"Ogden, UT",1151481.2764656178,783569.0327981254,367912.2436674924,Moderate Structural Surplus
"Kiryas Joel-Poughkeepsie-Newburgh, NY",1205604.9002014727,939304.047316681,266300.8528847917,Moderate Structural Surplus
"Colorado Springs, CO",1286408.8569518535,1555155.3348986283,-268746.4779467748,Moderate Structural Deficit
"Little Rock-North Little Rock-Conway, AR",1332501.9458287961,1580278.4027750466,-247776.45694625052,Structurally Balanced
"New Orleans-Metairie, LA",1379758.681789249,1619706.0682675838,-239947.3864783349,Moderate Structural Deficit
"Omaha, NE-IA",1383675.019857433,1228658.3773431254,155016.64251430752,Structurally Balanced
"Winston-Salem, NC",1423941.1022193441,1468296.6368431349,-44355.534623790765,Moderate Structural Deficit
