MSA_Name,Anchor_Base_2015_2018,Recent_Level_2021_2023,Anchor_Base_Floored,CAGR,LQ_Slope,LQ_Anchor_Mean,LQ_Recent_Mean,Fast_Growth_vs_FullPanel,Rising_Concentration,Nascent_Candidate
"McAllen-Edinburg-Mission, TX",661452.8329446671,273369.8720554171,899844.7343873048,-0.19476212418418004,0.001469746830201642,0.2311672549190352,0.24228381796974116,False,True,False
"Urban Honolulu, HI",591232.092766426,623743.8707256693,899844.7343873048,-0.06446167392215751,0.010517594888212198,0.7102587385839696,0.7746632052465238,False,True,False
"Palm Bay-Melbourne-Titusville, FL",1514989.644323179,636442.9937278945,1514989.644323179,-0.14588145067699587,0.0518478807607107,1.599436524943794,1.8875899791004667,False,True,False
"Deltona-Daytona Beach-Ormond Beach, FL",663547.6519126133,648425.6914745352,899844.7343873048,-0.0578372417232359,0.005571047235533561,0.6723399434905571,0.7072205235953953,False,True,False
"Baton Rouge, LA",1270635.0890007373,670472.4180746209,1270635.0890007373,-0.10973353774680394,0.002349137851087261,0.9363012058853107,0.9426774978068178,False,True,False
"Fresno, CA",1049563.629713703,701679.4634586708,1049563.629713703,-0.07059403968945255,-0.0025607312450020327,0.334503282197071,0.3218782592431952,False,False,False
"Cape Coral-Fort Myers, FL",560858.6213235745,750703.7356165871,899844.7343873048,-0.0324106257721789,0.014513025329723855,0.49574811547875874,0.577269033161698,False,True,False
"Albuquerque, NM",1433037.4537305613,771821.5001550931,1433037.4537305613,-0.10641049347523568,0.010506731947119747,1.0370676182250826,1.0997587516358793,False,True,False
"North Port-Bradenton-Sarasota, FL",912281.4229386043,798409.3571006021,912281.4229386043,-0.02394982634505627,0.004513481104604566,0.6019994315418297,0.628751269190743,False,True,False
"Spokane-Spokane Valley, WA",524220.2357988322,842322.5364316041,899844.7343873048,-0.011938927769741259,-0.004883241183969071,0.6774785847781207,0.6527279419093536,False,False,False
"Knoxville, TN",2344247.9054723065,882967.5886193252,2344247.9054723065,-0.16266661985714825,0.010167621525005293,1.0894834493452226,1.1415947069386987,False,True,False
"Chattanooga, TN-GA",3272704.738806748,897895.0091664167,3272704.738806748,-0.2095468524449271,0.03366878086581329,0.9956477105108985,1.1950983007460232,False,True,False
"Albany-Schenectady-Troy, NY",2466738.484864087,1141256.642005576,2466738.484864087,-0.13076296899257145,-0.0023810065343710294,1.0555797794545467,1.0396758288528523,False,False,False
"Ogden, UT",1548455.004161685,1151481.2764656178,1548455.004161685,-0.05243153654360755,0.0014670960595670863,1.2882398912330653,1.2955418504164,False,True,False
"Kiryas Joel-Poughkeepsie-Newburgh, NY",1643431.2114523877,1205604.9002014727,1643431.2114523877,-0.054771091955973183,-0.017877119770225946,0.6684754504199064,0.5721445262699948,False,False,False
"Colorado Springs, CO",2172878.3047753046,1286408.8569518535,2172878.3047753046,-0.09090780214294569,0.012643810435174577,1.1417409778113967,1.218410988003312,False,True,False
"Little Rock-North Little Rock-Conway, AR",2664069.9677926344,1332501.9458287961,2664069.9677926344,-0.11835256158602647,-0.014455780571890647,0.6957935358410994,0.6133930234660316,False,False,False
"New Orleans-Metairie, LA",1892292.2279533236,1379758.681789249,1892292.2279533236,-0.055814644914199296,-0.004642447441177187,0.8424439877420327,0.8235440280736831,False,False,False
"Omaha, NE-IA",1925103.9265975358,1383675.019857433,1925103.9265975358,-0.05827603620051813,-0.015687910327414775,0.7509067183233226,0.662704138877584,False,False,False
"Winston-Salem, NC",1701722.3471223437,1423941.1022193441,1701722.3471223437,-0.031882931419404126,-0.00043839801559076886,0.6159153057721101,0.6167777651162,False,False,False
